Ticker,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y.1,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,GICS Sector
LVGO,-,-,-0.36,4.40%,95.54M,-5.62%,13.13B,318.52,0.41,-25.30%,59.30M,0.73%,-33.20M,-,0.05,76.60%,15.69%,125.49%,258.00M,50.91,-65.10%,2.06%,1.9,363.36%,5.25,24.57,84.09%,-11.50%,127.41,404.89%,3.62,35.67,-,-15.30%,15.12 - 150.00,414.76%,-,-,-,-11.60%,-14.00%,-,-,10.20,-,75.70%,753.17%,8.63,671,10.70,114.30%,-22.70%,50.67,5.69% 5.98%,Yes,0.00,63.20%,-20.70%,0.62,141.49,Yes,0.00,Aug 06 AMC,-,4.91M,129.0,2.00,-1.46%,13.42%,133.93%,"3,073,207",-8.83%,Healthcare
XPO,-,100.76,0.87,0.10%,91.00M,-1.18%,7.81B,24.81,3.52,-96.91%,90.35M,13.50%,103.00M,11.61,0.39,99.10%,7.77%,4.55%,15.66B,0.50,23.80%,-1.50%,5.72,32.83%,26.85,3.25,261.13%,0.70%,93.05,21.62%,25.56,3.42,8.68%,4.10%,38.47 - 100.18,9.61%,-,19.48,30.50%,8.60%,-12.80%,2.44,-,1.50,47.80%,51.20%,127.09%,3.55,100000,1.50,-17.40%,2.40%,55.21,4.07% 3.43%,Yes,2.92,-221.30%,0.70%,0.75,90.83,Yes,2.84,Jul 30 AMC,0.00%,1.23M,87.36,1.90,2.82%,7.60%,14.35%,"921,674",-3.82%,Industrials
FSLY,-,-,-0.55,2.60%,99.84M,-13.41%,8.57B,1900.00,0.04,-40.02%,82.11M,-24.99%,-52.70M,-,0.00,61.90%,12.14%,81.19%,246.30M,34.78,-121.10%,38.32%,0.88,330.23%,5.43,15.05,233.30%,-13.30%,95.90,141.64%,3.66,22.31,30.00%,-16.00%,10.63 - 117.79,307.08%,-,-,-,-16.40%,-30.64%,-,-,13.70,-,57.50%,668.58%,8.39,717,13.70,61.70%,-21.60%,43.1,8.28% 8.95%,Yes,0.06,15.70%,-21.40%,0.91,91.79,Yes,0.05,Aug 05 AMC,-,11.28M,81.7,2.40,-3.77%,-5.60%,97.04%,"10,340,553",-10.99%,Information Technology
PRAH,-,30.97,3.27,0.20%,63.96M,-2.70%,6.41B,17.71,5.71,-9.40%,63.78M,-6.33%,212.30M,4.26,1.12,99.20%,1.33%,-6.57%,3.09B,2.07,55.70%,-0.77%,2.65,4.30%,18.48,5.47,29.21%,5.90%,113.62,-1.73%,2.65,38.13,7.27%,19.70%,58.67 - 113.32,-9.01%,-,23.53,45.00%,12.70%,-10.74%,1.01,-,1.00,16.00%,27.40%,72.39%,3.17,17500,1.00,-4.40%,9.70%,45.5,3.76% 3.03%,Yes,1.10,-65.10%,6.90%,0.67,107.64,Yes,1.08,Aug 06 AMC,0.00%,319.87K,101.14,2.60,-2.77%,-0.53%,2.43%,"216,068",-6.04%,Healthcare
EHC,-,23.05,2.87,1.60%,98.70M,1.55%,6.48B,16.62,3.98,7.69%,97.91M,-2.89%,284.80M,3.48,0.78,94.40%,1.83%,-9.68%,4.60B,1.41,23.90%,1.18%,2.7,-14.38%,14.82,4.46,35.11%,4.50%,86.07,8.41%,4.28,15.46,6.62%,20.40%,48.01 - 83.30,-4.50%,1.12,73.68,10.10%,12.90%,-20.59%,0.85,1.69%,1.70,14.20%,96.00%,37.78%,1.63,31570,1.70,-5.40%,13.20%,58.23,2.27% 2.39%,Yes,2.45,-63.60%,6.20%,0.64,67.06,Yes,2.42,Jul 27 AMC,38.50%,664.57K,66.15,1.80,2.83%,2.84%,-4.08%,"425,560",-1.36%,Healthcare
KRC,-,35.82,1.62,1.70%,115.09M,-3.65%,6.69B,35.47,1.63,0.00%,112.67M,1.31%,173.60M,4.48,0.38,-,2.49%,-12.51%,876.50M,7.63,-27.00%,0.18%,3.42,-22.37%,43.21,1.34,1.18%,1.90%,69.29,-25.44%,5.24,11.05,8.00%,3.70%,45.96 - 88.99,-31.00%,1.94,100.56,29.50%,2.80%,-34.95%,0.68,3.35%,-,9.90%,71.00%,25.96%,1.59,267,-,9.40%,25.10%,49.1,2.71% 2.62%,Yes,0.74,-59.60%,19.80%,0.62,57.73,Yes,0.74,Jul 29 AMC,119.40%,819.11K,57.89,2.50,-0.49%,-0.32%,-15.12%,"511,634",0.28%,Real Estate
WSM,-,16.46,5.21,0.90%,77.26M,-5.95%,6.78B,14.49,5.92,-17.50%,76.84M,-3.34%,410.70M,2.18,1.40,-,8.24%,0.21%,6.01B,1.13,14.50%,-1.89%,5.23,42.49%,15.78,5.43,-0.92%,8.70%,92.88,32.21%,10.88,7.88,7.55%,30.20%,26.01 - 101.73,16.71%,1.92,25.08,6.70%,23.80%,-15.75%,1.66,2.24%,0.60,4.70%,36.20%,229.53%,3.28,11600,1.30,-0.50%,7.70%,38.65,3.25% 3.18%,Yes,0.65,-31.50%,5.90%,1.01,88.33,Yes,0.25,Aug 26 AMC,40.90%,1.21M,85.71,2.80,-8.54%,-2.92%,19.49%,"1,242,378",-2.97%,Consumer Discretionary
CF,S&P 500,19.03,1.75,0.60%,214.50M,-0.09%,7.11B,20.41,1.63,-0.30%,212.81M,0.88%,378.00M,-,0.15,97.40%,2.60%,1.50%,4.26B,1.67,70.00%,2.18%,2.28,-9.85%,13.39,2.48,4.09%,3.10%,38.00,-31.06%,2.63,12.63,-5.21%,13.20%,19.73 - 52.30,-30.44%,1.20,7.90,-16.30%,12.50%,-36.50%,1.17,3.61%,1.40,-0.70%,23.30%,68.32%,1.07,3000,1.80,-19.80%,18.00%,53.46,3.16% 3.09%,Yes,0.00,-30.50%,8.90%,0.87,33.97,Yes,1.38,Aug 05 AMC,68.50%,2.43M,33.21,2.30,-1.85%,5.95%,-3.81%,"2,109,526",-2.24%,Materials
CCL,S&P 500,-,-4.02,0.30%,721.00M,9.06%,13.68B,-,-2.73,115.18%,606.79M,25.39%,-2952.00M,-,-2.20,56.20%,13.93%,-18.27%,16.84B,0.81,-2.70%,12.15%,1.97,-35.25%,28.9,0.61,66.60%,-6.40%,15.34,-61.03%,8.84,1.99,-,-12.30%,7.80 - 51.94,-65.41%,-,-,22.60%,8.70%,-66.15%,1.94,-,0.70,5.60%,33.80%,125.38%,0.97,104000,0.70,-84.70%,-14.90%,63.35,5.88% 6.11%,Yes,1.00,-,-17.50%,2.22,16.71,Yes,0.71,-,-,42.82M,17.58,2.90,14.02%,15.12%,-32.75%,"94,120,080",5.21%,Consumer Discretionary
FWONK,-,-,-2.71,3.05%,203.44M,-4.03%,7.81B,-,-0.18,0.00%,-,5.61%,-,-,0.09,95.09%,-,4.01%,1.22B,6.41,-20.70%,-,7.14,9.47%,28.54,1.35,89.00%,-,43.50,-10.03%,-,-,-,-,18.31 - 48.95,-16.48%,-,-,-,-,-21.57%,-,-,-,-,-,109.67%,1.08,-,-,-96.10%,-,55.64,2.30% 3.00%,Yes,-,-,-,0.64,38.59,Yes,-,-,-,1.25M,38.39,2.20,0.18%,7.01%,4.01%,"822,037",-0.52%,Communication Services
