Ticker,Index,P/E,EPS (ttm),Insider Own,Shs Outstand,Perf Week,Market Cap,Forward P/E,EPS next Y,Insider Trans,Shs Float,Perf Month,Income,PEG,EPS next Q,Inst Own,Short Float,Perf Quarter,Sales,P/S,EPS this Y,Inst Trans,Short Ratio,Perf Half Y,Book/sh,P/B,EPS next Y.1,ROA,Target Price,Perf Year,Cash/sh,P/C,EPS next 5Y,ROE,52W Range,Perf YTD,Dividend,P/FCF,EPS past 5Y,ROI,52W High,Beta,Dividend %,Quick Ratio,Sales past 5Y,Gross Margin,52W Low,ATR,Employees,Current Ratio,Sales Q/Q,Oper. Margin,RSI (14),Volatility,Optionable,Debt/Eq,EPS Q/Q,Profit Margin,Rel Volume,Prev Close,Shortable,LT Debt/Eq,Earnings,Payout,Avg Volume,Price,Recom,SMA20,SMA50,SMA200,Volume,Change,GICS Sector
AAPL,DJIA S&P500,36.75,3.29,0.07%,17.25B,-3.30%,2070.71B,31.12,19.84%,-3.09%,17.09B,9.83%,58.42B,2.95,2.8,62.30%,0.55%,45.86%,273.86B,7.56,-2.60%,-0.86%,0.58,67.29%,4.19,28.85,19.84%,17.70%,110.81,126.71%,5.43,22.26,12.46%,70.70%,51.06 - 137.98,64.66%,0.82,35.91,13.00%,26.90%,-12.39%,1.26,0.68%,1.40,7.30%,38.20%,136.76%,4.67,137000.0,1.50,10.90%,24.50%,54.42,4.86% 3.17%,Yes,1.57,18.40%,21.30%,1.56,131.4,Yes,1.31,Jul 30 AMC,23.60%,161.82M,120.88,2.2,0.72%,14.41%,48.13%,"251,725,012",-8.01%,Information Technology
MSFT,DJIA S&P500,37.7,5.76,0.10%,7.58B,-4.10%,1627.71B,29.62,13.59%,-5.88%,7.46B,2.05%,44.28B,2.51,1.54,72.90%,0.40%,16.08%,143.02B,11.38,13.40%,-0.77%,0.86,34.49%,15.6,13.93,13.59%,15.40%,226.93,55.16%,18.23,11.92,15.00%,39.50%,132.52 - 232.86,37.79%,2.04,54.08,31.30%,23.10%,-6.68%,0.90,0.94%,2.50,8.90%,67.80%,63.98%,5.75,163000.0,2.50,12.80%,36.90%,50.16,2.84% 2.28%,Yes,0.62,-14.10%,31.00%,1.68,231.65,Yes,0.58,Jul 22 AMC,34.20%,34.38M,217.3,1.7,0.66%,3.35%,21.59%,"57,706,830",-6.19%,Information Technology
AMZN,S&P 500,129.46,26.02,10.90%,500.00M,-0.94%,1686.09B,76.31,39.66%,-1.86%,426.04M,5.08%,13.18B,3.59,7.24,59.50%,0.52%,35.64%,321.78B,5.24,15.90%,-0.19%,0.48,77.16%,147.46,22.84,39.66%,5.80%,3636.42,82.97%,142.61,23.62,36.03%,20.50%,1626.03 - 3552.25,82.27%,-,62.55,115.10%,11.70%,-5.19%,1.32,-,1.00,25.80%,40.30%,107.13%,91.0,876800.0,1.20,40.20%,5.20%,55.41,2.57% 2.48%,Yes,0.69,97.40%,4.10%,1.74,3531.45,Yes,0.68,Jul 30 AMC,0.00%,4.63M,3368.0,1.8,2.36%,7.90%,43.91%,"8,045,811",-4.63%,Consumer Discretionary
FB,S&P 500,37.14,7.84,0.66%,2.85B,-0.72%,828.11B,28.68,26.92%,-0.55%,2.39B,16.86%,23.52B,2.18,1.87,80.10%,0.98%,26.15%,75.16B,11.02,-15.10%,0.12%,0.92,60.76%,38.75,7.51,26.92%,17.60%,284.24,52.50%,20.47,14.22,17.05%,22.90%,137.10 - 304.67,41.84%,-,43.99,42.20%,17.40%,-4.45%,1.26,-,6.00,41.50%,81.50%,112.34%,9.99,52534.0,6.00,10.70%,37.10%,62.74,3.10% 3.51%,Yes,0.00,97.70%,31.30%,1.25,302.5,Yes,0.00,Jul 30 AMC,0.00%,25.27M,291.12,1.8,6.03%,15.17%,35.94%,"31,485,584",-3.76%,Communication Services
GOOGL,S&P 500,36.85,44.22,0.14%,681.77M,0.06%,1102.88B,28.8,27.82%,0.00%,613.80M,10.17%,31.53B,7.68,11.15,80.70%,0.36%,13.16%,166.03B,6.64,12.50%,-0.41%,1.25,25.76%,304.09,5.36,27.82%,11.60%,1541.44,34.43%,178.90,9.11,4.80%,15.60%,1008.87 - 1726.10,21.66%,-,35.40,19.90%,14.10%,-5.60%,1.08,-,3.40,19.70%,54.20%,61.52%,39.98,127498.0,3.40,-1.70%,19.80%,57.76,2.74% 2.24%,Yes,0.02,-33.20%,19.00%,1.77,1717.39,Yes,0.02,Jul 30 AMC,0.00%,1.75M,1629.51,1.8,3.85%,6.91%,17.21%,"3,093,648",-5.12%,Communication Services
GOOG,S&P 500,36.09,45.49,5.75%,686.47M,0.46%,1127.07B,29.11,27.70%,0.00%,610.53M,11.42%,-,5.93,11.08,70.62%,0.26%,14.14%,166.03B,6.79,-10.20%,-,0.92,26.45%,304.34,5.39,27.70%,-,1699.84,35.53%,-,-,6.09%,-,1013.54 - 1733.18,22.80%,-,-,-,-,-5.27%,-,-,-,-,-,61.99%,40.75,127498.0,-,-1.70%,-,58.93,2.80% 2.29%,Yes,-,-30.00%,-,1.78,1728.28,Yes,-,Jul 30 AMC,-,1.74M,1641.84,1.6,4.44%,7.74%,18.02%,"3,097,261",-5.00%,Communication Services
JNJ,DJIA S&P500,26.83,5.58,0.08%,2.63B,-2.24%,392.05B,16.54,14.91%,-1.29%,2.63B,0.77%,14.89B,5.28,1.96,70.20%,0.36%,1.53%,80.50B,4.87,0.50%,-0.93%,1.45,5.29%,23.92,6.25,,9.70%,165.06,16.31%,7.30,20.49,5.08%,25.10%,109.16 - 157.00,2.52%,4.04,53.85,-0.20%,17.30%,-4.75%,0.68,2.70%,1.00,2.00%,65.80%,37.00%,2.72,132200.0,1.20,-10.80%,20.30%,48.84,2.70% 1.70%,Yes,0.48,-34.70%,18.90%,1.33,153.83,Yes,0.40,Jul 16 BMO,66.90%,6.51M,149.55,1.9,-0.72%,1.49%,3.60%,"8,659,822",-2.78%,Healthcare
BRK.B,S&P 500,0.02,13690.33,0.18%,2.43B,0.59%,530.10B,20.01,15.80%,0.00%,1.19B,7.14%,-,0.0,2.45,68.84%,1.06%,8.72%,249.93B,2.12,-3.80%,-,2.05,5.91%,245764.8,0.0,,-,226.5,6.81%,-,-,23.30%,-,159.50 - 231.61,-3.69%,-,-,-,-,-5.81%,-,-,-,-,-,36.77%,3.44,391500.0,-,-10.60%,-,68.91,1.63% 1.51%,Yes,-,86.80%,-,1.15,221.68,Yes,-,Aug 07 AMC,-,6.13M,218.15,2.2,2.75%,10.38%,8.13%,"7,062,246",-1.59%,Financial
PG,DJIA S&P500,27.89,4.96,0.10%,2.48B,0.04%,342.34B,24.0,6.84%,-89.87%,2.47B,3.61%,12.76B,3.61,1.41,65.60%,0.56%,16.84%,70.95B,4.83,246.70%,-0.43%,2.02,13.64%,18.39,7.52,,11.00%,129.64,12.63%,6.54,21.16,7.72%,28.30%,94.34 - 141.44,10.70%,3.16,52.34,11.80%,16.10%,-2.25%,0.41,2.29%,0.70,0.10%,51.20%,46.56%,2.0,99000.0,0.80,3.50%,22.10%,63.36,1.82% 1.26%,Yes,0.76,153.60%,18.00%,1.06,140.51,Yes,0.52,Jul 30 BMO,59.00%,6.82M,138.26,2.2,1.22%,6.87%,13.41%,"7,247,454",-1.60%,Consumer Staples
V,DJIA S&P500,39.73,5.26,0.20%,1.98B,-0.98%,434.99B,35.87,16.17%,-6.33%,1.42B,6.56%,11.33B,4.03,1.09,96.60%,1.84%,4.68%,22.88B,19.01,20.00%,-0.53%,3.26,13.34%,15.27,13.68,,15.20%,222.71,13.12%,7.99,26.15,9.86%,38.30%,133.93 - 217.35,11.21%,1.20,48.31,19.80%,26.50%,-3.86%,0.90,0.57%,1.60,12.60%,80.50%,56.02%,4.15,19500.0,1.60,-17.20%,64.10%,56.79,2.24% 1.78%,Yes,0.69,-21.70%,49.50%,1.39,216.48,Yes,0.59,Jul 28 AMC,20.30%,8.06M,208.96,1.8,2.34%,5.39%,10.96%,"11,219,872",-3.47%,Financial
UNH,DJIA S&P500,17.79,17.78,0.30%,949.00M,1.46%,297.94B,17.09,18.50,-11.83%,944.73M,1.20%,17.10B,1.40,3.07,89.40%,0.58%,1.40%,247.81B,1.20,17.50%,0.15%,1.75,11.40%,67.04,4.72,11.71%,9.40%,331.96,37.74%,23.70,13.34,12.72%,29.30%,187.72 - 324.57,7.57%,5.00,18.59,20.20%,16.20%,-2.57%,0.69,1.58%,-,13.20%,-,68.46%,7.0,325000,-,2.50%,9.80%,54.92,2.40% 2.06%,Yes,0.72,102.40%,6.90%,1.24,320.24,Yes,0.63,Jul 15 BMO,24.90%,3.13M,316.23,1.80,0.15%,3.16%,9.95%,"3,867,332",-1.25%,Healthcare
HD,DJIA S&P500,25.15,10.92,0.10%,1.08B,-4.85%,298.04B,23.04,11.92,-16.15%,1.07B,2.67%,11.83B,4.23,2.96,71.90%,0.57%,7.74%,119.32B,2.50,6.10%,-0.37%,1.65,20.18%,-0.39,-,5.20%,21.00%,255.74,20.37%,13.03,21.08,5.95%,-583.90%,140.63 - 292.95,25.76%,6.00,26.25,16.80%,43.60%,-6.25%,1.10,2.18%,0.70,5.80%,34.10%,95.29%,5.46,415700,1.30,23.40%,14.00%,46.06,2.23% 1.84%,Yes,-,27.10%,9.90%,1.43,287.2,Yes,-,Aug 18 BMO,52.20%,3.73M,274.63,2.20,-2.83%,2.83%,17.58%,"5,341,011",-4.38%,Consumer Discretionary
MA,S&P 500,47.76,7.2,11.10%,1.00B,-3.42%,334.69B,39.48,8.71,-1.64%,876.23M,4.83%,7.29B,4.19,1.65,77.50%,0.52%,10.25%,16.23B,20.63,43.30%,-0.34%,1.21,19.80%,6.44,53.39,30.16%,24.80%,351.11,17.72%,11.84,29.04,11.39%,128.90%,199.99 - 367.25,15.15%,1.60,49.72,20.70%,55.60%,-6.37%,1.10,0.47%,2.00,12.30%,-,71.93%,7.54,18600,2.00,-18.90%,55.30%,55.4,2.79% 1.96%,Yes,0.00,-29.50%,45.10%,1.66,360.7,Yes,1.93,Jul 30 BMO,20.10%,3.79M,343.84,1.90,1.15%,8.04%,15.79%,"6,284,139",-4.67%,Financial
JPM,DJIA S&P500,13.65,7.42,0.10%,3.08B,-1.00%,307.55B,11.49,8.82,2.08%,3.02B,4.24%,23.39B,-,1.89,72.10%,0.67%,-8.90%,76.32B,4.03,20.40%,-2.56%,1.03,-6.25%,76.2,1.33,53.19%,0.80%,115.04,-9.82%,443.01,0.23,-1.37%,10.00%,76.91 - 141.10,-27.31%,3.60,-,15.20%,8.30%,-28.19%,1.15,3.55%,-,10.30%,-,31.75%,2.51,256710,-,-25.40%,57.60%,56.24,2.43% 2.34%,Yes,1.35,-50.90%,30.70%,1.18,101.65,Yes,1.35,Jul 14 BMO,47.00%,19.66M,101.33,2.30,0.99%,3.48%,-7.76%,"23,174,858",-0.31%,Financial
NVDA,S&P 500,95.46,5.45,0.30%,616.00M,3.07%,308.53B,47.44,10.98,-26.32%,590.81M,15.32%,3.39B,5.47,2.57,71.00%,0.94%,45.91%,13.07B,23.61,-25.10%,-0.59%,0.51,95.69%,22.59,23.05,21.16%,16.60%,525.26,189.65%,18.53,28.10,17.44%,26.90%,163.25 - 589.07,121.26%,0.64,67.53,32.20%,18.80%,-11.62%,1.49,0.12%,5.50,18.50%,62.80%,218.91%,20.68,13775,6.10,49.90%,27.10%,59.32,5.20% 3.72%,Yes,0.00,10.90%,25.90%,2.14,573.86,Yes,0.50,Aug 19 AMC,11.60%,10.81M,520.62,2.00,5.77%,18.06%,65.64%,"23,138,095",-9.28%,Information Technology
VZ,DJIA S&P500,13.11,4.62,0.03%,4.14B,1.99%,260.85B,12.29,4.93,0.70%,4.14B,5.34%,19.15B,10.69,1.21,67.50%,0.73%,4.97%,129.73B,2.01,23.80%,-0.42%,2.13,6.58%,15.15,4.00,3.37%,6.60%,60.20,3.45%,1.83,33.09,1.23%,31.50%,48.84 - 62.22,-1.29%,2.46,19.30,14.00%,13.70%,-2.59%,0.44,4.06%,0.90,0.70%,59.10%,24.10%,0.71,135300,1.00,-5.10%,20.20%,74.52,1.49% 1.15%,Yes,1.80,19.20%,14.80%,1.62,60.53,Yes,1.69,Jul 24 BMO,52.90%,14.23M,60.61,2.60,2.66%,6.26%,5.48%,"23,103,660",0.13%,Communication Services
PYPL,S&P 500,94.08,2.18,0.10%,1.17B,0.32%,240.49B,45.07,4.55,-29.56%,1.17B,1.03%,2.58B,4.03,0.94,86.60%,1.06%,31.40%,19.22B,12.51,19.90%,0.28%,1.71,84.86%,15.04,13.63,22.00%,4.70%,219.10,83.91%,11.12,18.43,23.37%,15.40%,82.07 - 212.45,89.51%,-,43.72,43.20%,10.00%,-3.51%,1.15,-,1.40,17.20%,44.90%,149.77%,6.21,23200,1.40,22.20%,14.80%,59.26,3.01% 2.76%,Yes,0.00,86.40%,13.40%,2.18,210.82,Yes,0.51,Jul 29 AMC,0.00%,7.28M,204.99,1.80,3.12%,9.68%,50.54%,"15,909,212",-2.77%,Financial
NFLX,S&P 500,93.14,5.65,1.62%,440.57M,-0.10%,232.92B,59.75,8.80,-6.56%,433.76M,4.71%,2.55B,2.64,2.12,82.70%,2.22%,25.30%,22.63B,10.29,46.90%,-1.39%,1.32,42.49%,21.19,24.81,42.33%,7.80%,458.03,79.28%,16.15,32.56,35.34%,33.30%,252.28 - 575.37,62.48%,-,-,44.20%,10.20%,-8.62%,0.97,-,1.10,29.60%,40.80%,108.40%,18.32,8600,1.10,24.90%,16.60%,54.62,4.11% 3.43%,Yes,1.69,165.10%,11.90%,1.23,552.84,Yes,1.64,Jul 16 AMC,0.00%,7.29M,525.75,2.30,4.54%,5.89%,30.30%,"8,999,714",-4.90%,Communication Services
ADBE,S&P 500,66.90,7.59,0.10%,481.00M,-0.49%,240.69B,45.69,11.12,-26.81%,477.02M,12.97%,3.70B,4.46,2.41,86.80%,0.79%,29.24%,12.05B,19.98,7.80%,-1.65%,1.35,50.79%,22.62,22.45,13.80%,17.70%,439.77,76.47%,9.18,55.32,15.00%,35.10%,255.13 - 536.88,53.97%,-,54.28,62.70%,20.60%,-5.42%,0.94,-,1.30,21.90%,85.60%,99.03%,16.01,22634,1.30,14.00%,31.40%,58.7,3.19% 3.09%,Yes,0.38,76.60%,30.70%,2.08,533.8,Yes,0.38,Sep 15 AMC,0.00%,2.78M,507.8,2.00,6.29%,11.42%,36.19%,"5,783,807",-4.87%,Information Technology
PFE,S&P 500,14.81,2.46,0.04%,5.55B,-3.86%,202.00B,10.90,3.34,-7.25%,5.55B,-5.33%,13.85B,2.76,0.72,72.00%,0.90%,1.14%,49.20B,4.11,62.30%,-1.45%,1.68,3.94%,11.58,3.14,13.92%,8.30%,41.79,0.17%,2.05,17.75,5.37%,22.00%,27.88 - 40.97,-7.10%,1.52,44.15,14.70%,14.70%,-11.15%,0.66,4.18%,1.20,0.90%,80.40%,30.56%,0.74,88300,1.40,-11.00%,31.10%,38.83,2.61% 1.70%,Yes,0.99,-31.50%,28.80%,1.12,37.2,Yes,0.79,Jul 28 BMO,57.90%,29.94M,36.4,2.50,-4.58%,-0.91%,-0.45%,"33,532,430",-2.15%,Healthcare
TSLA,-,1047.35,0.39,0.10%,930.00M,-9.10%,383.60B,130.05,3.13,-12.52%,741.45M,37.04%,368.00M,-,2.67,49.30%,8.30%,129.77%,25.71B,14.92,14.90%,-1.55%,0.84,189.28%,10.6,38.41,79.53%,1.00%,-,786.40%,9.14,44.53,-,4.60%,43.67 - 502.49,386.46%,-,147.68,-15.60%,-0.90%,-19.00%,1.52,-,0.90,50.40%,19.80%,831.95%,29.11,48016,1.20,-4.90%,4.80%,55.71,10.43% 6.92%,Yes,1.43,121.70%,1.40%,1.15,447.37,Yes,1.06,Jul 22 AMC,0.00%,73.45M,407.0,3.00,7.21%,27.93%,132.27%,"84,636,573",-9.02%,Consumer Discretionary
DIS,DJIA S&P500,-,-0.74,0.20%,1.81B,-0.37%,237.56B,49.46,2.69,0.00%,1.80B,4.41%,-1325.00M,-,-0.66,65.10%,1.37%,6.75%,69.75B,3.41,-13.60%,-0.33%,1.98,15.59%,47.47,2.81,67.02%,-0.50%,133.39,-4.03%,12.96,10.28,1.99%,-1.20%,79.07 - 153.41,-7.88%,-,133.16,7.90%,8.40%,-13.15%,1.09,-,1.30,7.30%,36.00%,68.51%,3.21,223000,1.30,-41.80%,0.50%,60.36,2.74% 2.16%,Yes,0.75,-429.20%,-1.60%,0.96,135.39,Yes,0.63,Aug 04 AMC,-,12.43M,133.24,2.20,1.80%,9.10%,7.59%,"11,937,426",-1.59%,Communication Services
T,S&P 500,18.06,1.64,0.08%,7.15B,-1.04%,209.85B,9.12,3.24,2.55%,7.12B,-0.87%,11.90B,62.72,0.77,54.90%,1.62%,-9.70%,175.14B,1.20,-30.90%,-,3.33,-20.09%,24.62,1.20,1.50%,2.20%,32.46,-17.55%,2.39,12.39,0.29%,6.60%,26.08 - 39.70,-24.28%,2.08,18.96,8.90%,7.00%,-25.47%,0.65,7.03%,0.80,6.50%,54.20%,13.46%,0.42,243000,0.80,-8.90%,13.80%,43.19,1.58% 1.27%,Yes,0.96,-66.00%,6.80%,1.28,29.7,Yes,0.87,Jul 23 BMO,125.50%,34.56M,29.59,2.70,-1.03%,-1.00%,-10.83%,"44,223,348",-0.37%,Communication Services
MRK,DJIA S&P500,20.71,4.13,0.10%,2.53B,-0.38%,216.65B,13.44,6.36,-2.89%,2.53B,4.72%,10.53B,3.31,1.41,76.60%,0.47%,3.93%,47.19B,4.59,58.90%,-1.05%,1.35,4.00%,10.94,7.81,11.20%,12.20%,95.29,-0.71%,4.38,19.51,6.25%,39.30%,65.25 - 92.64,-6.00%,2.44,63.40,-1.10%,19.20%,-7.72%,0.47,2.85%,1.10,2.10%,72.10%,31.02%,1.57,71000,1.30,-7.60%,25.40%,60.53,2.23% 1.63%,Yes,1.12,14.70%,22.20%,1.42,86.93,Yes,0.95,Jul 31 BMO,57.70%,8.71M,85.49,1.90,1.61%,5.81%,4.30%,"12,366,330",-1.66%,Healthcare
INTC,DJIA S&P500,9.27,5.44,0.05%,4.25B,2.00%,209.93B,10.71,4.71,-6.31%,4.25B,3.00%,23.66B,1.08,1.10,67.50%,0.98%,-21.68%,78.96B,2.66,6.60%,0.05%,1.3,-9.65%,19.31,2.61,-2.87%,16.60%,56.50,0.58%,6.20,8.13,8.62%,30.50%,43.63 - 69.29,-15.81%,1.32,12.85,15.20%,17.80%,-27.28%,0.70,2.62%,1.60,5.20%,57.90%,15.49%,1.14,110800,2.00,19.50%,32.90%,47.89,2.94% 2.05%,Yes,0.47,29.00%,30.00%,1.46,52.25,Yes,0.44,Jul 23 AMC,23.50%,32.23M,50.39,3.00,2.11%,-5.67%,-12.77%,"47,207,874",-3.56%,Information Technology
CMCSA,S&P 500,17.82,2.49,0.10%,4.57B,-0.22%,202.92B,15.01,2.96,-6.68%,4.52B,5.08%,11.51B,3.60,0.47,85.90%,1.73%,5.58%,105.55B,1.92,11.80%,-0.10%,4.39,10.08%,18.3,2.43,23.38%,4.40%,48.63,-4.24%,3.05,14.56,4.95%,14.10%,31.70 - 47.74,-1.18%,0.92,16.37,12.10%,9.20%,-6.91%,0.96,2.07%,1.00,9.60%,69.00%,40.17%,0.92,190000,1.00,-11.70%,19.00%,61.55,2.32% 1.83%,Yes,1.32,-4.40%,10.90%,1.01,45.17,Yes,1.27,Jul 30 BMO,34.90%,17.86M,44.44,2.10,1.64%,5.13%,7.68%,"18,103,088",-1.62%,Communication Services
BAC,S&P 500,12.33,2.08,0.10%,8.74B,-1.50%,220.21B,12.05,2.13,0.00%,8.65B,1.06%,18.85B,5.28,0.41,71.40%,0.93%,-8.72%,63.48B,3.47,5.60%,-1.22%,1.21,-0.19%,27.71,0.93,34.83%,0.70%,28.53,-8.75%,118.65,0.22,2.33%,7.80%,17.95 - 35.72,-27.14%,0.72,3.48,45.50%,6.00%,-28.16%,1.56,2.81%,-,6.60%,-,42.95%,0.67,213000,-,-31.20%,56.20%,52.46,2.55% 2.50%,Yes,0.00,-49.60%,29.70%,1.3,26.02,Yes,1.08,Jul 16 BMO,34.40%,66.31M,25.66,2.30,-1.06%,3.40%,-6.52%,"85,965,325",-1.38%,Financial
PEP,S&P 500,28.38,4.91,0.10%,1.39B,0.70%,190.85B,23.46,5.94,-2.45%,1.38B,2.29%,6.87B,5.18,1.48,73.00%,0.52%,5.23%,67.65B,2.82,-40.70%,-0.78%,1.66,1.54%,9.01,15.47,10.74%,8.30%,146.86,2.49%,6.66,20.92,5.48%,49.90%,101.42 - 147.20,1.98%,4.09,1539.14,4.00%,17.80%,-5.32%,0.57,2.93%,0.80,0.10%,55.30%,37.42%,2.4,116000,1.00,-3.10%,14.50%,54.63,2.47% 1.61%,Yes,3.60,-18.20%,10.10%,1.52,143.29,Yes,3.07,Oct 01 BMO,79.00%,4.37M,139.37,2.20,1.10%,2.60%,3.59%,"6,633,455",-2.74%,Consumer Staples
WMT,DJIA S&P500,27.49,5.26,36.10%,2.83B,5.79%,398.62B,25.83,5.60,-0.05%,1.39B,11.35%,15.03B,4.29,1.18,30.20%,1.02%,18.90%,534.66B,0.75,114.90%,-1.80%,1.42,23.30%,24.1,6.00,5.15%,6.30%,144.13,25.21%,5.41,26.70,6.41%,20.90%,102.00 - 151.33,21.63%,2.16,46.89,0.90%,12.10%,-4.49%,0.28,1.49%,0.30,1.50%,24.50%,41.71%,3.98,2200000,0.80,8.60%,3.80%,68.53,4.21% 2.52%,Yes,0.85,5.20%,2.80%,1.58,147.68,Yes,0.70,Aug 18 BMO,40.60%,10.05M,144.54,2.00,7.61%,10.98%,18.34%,"15,891,453",-2.13%,Consumer Staples
KO,DJIA S&P500,23.74,2.13,0.30%,4.30B,4.67%,209.87B,24.46,2.06,-11.29%,4.27B,6.90%,9.19B,8.08,0.46,68.10%,0.51%,2.83%,34.33B,6.11,38.00%,-2.20%,1.36,-8.65%,4.07,12.40,13.66%,10.10%,53.55,-8.42%,4.77,10.59,2.94%,50.10%,36.27 - 60.13,-8.80%,1.64,116.79,5.30%,12.00%,-16.05%,0.54,3.25%,1.00,-4.10%,60.00%,39.18%,0.98,86200,1.10,-28.50%,27.60%,65.88,2.67% 1.75%,Yes,2.99,-31.90%,26.80%,1.37,51.19,Yes,2.16,Jul 21 BMO,75.10%,15.81M,50.48,2.00,4.43%,7.31%,0.92%,"21,604,287",-1.39%,Consumer Staples
CSCO,DJIA S&P500,15.54,2.64,0.04%,4.23B,-3.17%,173.27B,12.29,3.33,-4.93%,4.22B,-13.48%,11.21B,2.52,0.71,74.40%,0.71%,-14.38%,49.30B,3.51,30.30%,0.01%,1.33,3.20%,8.44,4.85,7.56%,11.90%,49.35,-15.43%,6.75,6.06,6.18%,31.80%,32.40 - 50.30,-14.62%,1.44,19.58,13.50%,20.80%,-18.59%,0.83,3.52%,1.50,1.90%,64.30%,26.39%,0.89,75900,1.60,-7.50%,28.70%,30.08,1.50% 1.65%,Yes,0.45,-5.20%,22.40%,1.74,42.42,Yes,0.32,Aug 12 AMC,53.50%,22.47M,40.95,2.30,-6.02%,-9.61%,-7.88%,"39,178,310",-3.47%,Information Technology
ABT,S&P 500,61.04,1.73,0.70%,1.77B,-5.18%,187.69B,26.59,3.97,-2.73%,1.76B,3.32%,3.08B,5.29,0.89,75.60%,0.57%,17.44%,31.44B,5.97,45.20%,-0.72%,1.77,29.10%,17.25,6.12,20.90%,4.60%,108.31,22.85%,2.83,37.26,11.53%,10.10%,61.61 - 114.19,21.49%,1.44,87.42,12.40%,8.20%,-7.59%,0.96,1.36%,1.10,9.50%,57.70%,71.29%,2.99,107000,1.60,-8.20%,12.80%,55.91,3.64% 2.25%,Yes,0.64,-46.70%,9.90%,1.07,109.44,Yes,0.59,Jul 16 BMO,77.40%,5.69M,105.53,1.90,2.23%,6.72%,17.69%,"6,067,227",-3.57%,Healthcare
XOM,S&P 500,25.97,1.51,0.10%,4.27B,-1.59%,161.51B,26.41,1.48,1.69%,4.23B,-10.81%,6.43B,2.01,-0.04,53.10%,0.99%,-26.32%,213.86B,0.76,-33.80%,-2.28%,1.82,-17.99%,42.19,0.93,970.60%,2.00%,47.48,-44.34%,3.05,12.84,12.91%,3.90%,30.11 - 75.18,-43.95%,3.48,-,-16.00%,2.30%,-47.98%,1.27,8.90%,0.60,-8.30%,30.00%,29.89%,1.04,74900,0.90,-52.20%,1.50%,35.56,2.34% 2.30%,Yes,0.39,-134.50%,3.40%,1.24,39.19,Yes,0.26,Jul 31 BMO,207.30%,22.91M,39.11,3.10,-6.69%,-8.85%,-23.68%,"28,489,093",-0.20%,Energy
ABBV,S&P 500,20.21,4.55,0.10%,1.76B,-2.58%,162.36B,7.59,12.11,-4.80%,1.76B,-1.48%,6.91B,2.44,2.76,70.70%,0.70%,-2.11%,36.23B,4.48,42.30%,12.53%,1.71,3.43%,8.93,10.29,15.85%,7.10%,109.38,37.06%,3.42,26.88,8.27%,-303.40%,62.55 - 101.28,3.76%,4.72,21.90,36.80%,21.20%,-9.29%,0.71,5.14%,0.70,10.80%,73.30%,46.87%,1.91,47000,0.90,26.30%,30.20%,39.1,2.90% 1.83%,Yes,5.94,-192.90%,19.10%,1.22,93.95,Yes,5.58,Jul 31 BMO,98.80%,7.27M,91.87,1.90,-2.64%,-4.57%,3.22%,"8,894,166",-2.21%,Healthcare
CRM,DJIA S&P500,103.56,2.56,3.50%,896.00M,-4.09%,243.37B,71.03,3.73,-6.14%,867.30M,30.78%,2.37B,5.32,0.75,84.50%,1.24%,52.41%,19.38B,12.56,-89.60%,0.25%,1.42,61.51%,38.58,6.87,-0.35%,0.30%,267.86,72.34%,10.67,24.83,19.48%,0.40%,115.29 - 284.50,62.94%,-,65.99,18.80%,-0.70%,-6.85%,1.24,-,1.10,26.00%,74.60%,129.86%,11.24,49000,1.10,30.20%,1.50%,69.17,4.43% 3.69%,Yes,0.00,-78.10%,0.70%,1.82,276.69,Yes,0.08,Aug 25 AMC,0.00%,7.61M,265.01,1.80,18.39%,29.34%,49.69%,"13,884,590",-4.22%,Information Technology
TMO,S&P 500,45.07,9.31,0.10%,395.00M,-0.20%,164.47B,25.21,16.65,-53.45%,394.98M,-0.05%,3.73B,3.76,3.89,91.50%,0.66%,18.48%,26.25B,6.27,22.10%,0.30%,1.98,34.87%,75.63,5.55,10.35%,6.30%,441.18,42.74%,-,-,12.00%,12.60%,250.21 - 441.96,29.18%,0.88,41.86,14.30%,8.50%,-5.04%,1.01,0.21%,2.00,8.60%,45.40%,67.73%,10.08,75000,2.60,9.50%,17.00%,51.2,2.83% 2.22%,Yes,0.71,4.60%,14.10%,1.42,441.06,Yes,0.69,Jul 22 BMO,8.50%,1.32M,419.67,1.70,-0.27%,4.32%,22.47%,"1,882,478",-4.85%,Healthcare
CVX,DJIA S&P500,-,-4.71,0.05%,1.87B,-3.10%,152.35B,28.72,2.87,0.10%,1.87B,-5.64%,-8698.00M,-,-0.09,66.70%,0.93%,-18.38%,114.79B,1.33,-80.00%,-0.81%,1.99,-13.68%,72.37,1.14,2700.00%,-3.60%,99.87,-30.06%,3.73,22.04,-0.60%,-6.00%,51.60 - 125.27,-31.72%,5.16,-,-31.40%,0.20%,-34.32%,1.23,6.27%,0.90,-6.90%,44.90%,59.46%,2.12,48200,1.10,-55.60%,-8.70%,37.97,2.09% 2.23%,Yes,0.25,-297.30%,-7.60%,1.84,83.19,Yes,0.23,Jul 31 BMO,-,8.70M,82.28,2.30,-5.32%,-5.84%,-14.49%,"15,975,328",-1.09%,Energy
